Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
88,Saturday Jul 11,boxscore,SEA,,LAA,W,5,0,,41-47,4,7.0,Iwakuma,Wilson,,2:42,N,40765,0.49,+,
89,Sunday Jul 12,boxscore,SEA,,LAA,L,3,10,,41-48,4,7.5,Heaney,Walker,,2:56,D,36955,0.62,-,
90,Friday Jul 17,boxscore,SEA,@,NYY,L,3,4,,41-49,4,8.5,Tanaka,Beimel,Miller,2:43,N,47086,0.44,--,
91,Saturday Jul 18,boxscore,SEA,@,NYY,W,4,3,,42-49,4,8.5,Iwakuma,Pineda,Smith,3:12,D,46119,0.35,+,
92,Sunday Jul 19,boxscore,SEA,@,NYY,L,1,2,,42-50,4,9.0,Betances,Rodney,Miller,2:45,D,42926,0.44,-,
93,Monday Jul 20,boxscore,SEA,@,DET,L,4,5,,42-51,5,10.5,Alburquerque,Lowe,Soria,2:54,N,34353,0.34,--,
94,Tuesday Jul 21,boxscore,SEA,@,DET,W,11,9,,43-51,4,10.5,Beimel,Feliz,Smith,3:55,N,34088,0.28,+,
95,Wednesday Jul 22,boxscore,SEA,@,DET,L,4,9,,43-52,5,11.5,Sánchez,Montgomery,Soria,3:10,N,36670,0.3,-,
96,Thursday Jul 23,boxscore,SEA,@,DET,W,3,2,12.0,44-52,4,10.5,Rodney,Krol,Wilhelmsen,4:33,D,40225,0.24,+,
97,Friday Jul 24,boxscore,SEA,,TOR,W,5,2,,45-52,4,9.5,Hernández,Estrada,Smith,2:49,N,43328,0.27,++,
98,Saturday Jul 25,boxscore,SEA,,TOR,L,6,8,,45-53,4,9.5,Sanchez,Smith,Osuna,3:29,D,45027,0.34,-,
99,Sunday Jul 26,boxscore,SEA,,TOR,W-wo,6,5,10.0,46-53,4,9.5,Beimel,Loup,,3:05,D,35159,0.27,+,
100,Monday Jul 27,boxscore,SEA,,ARI,L,3,4,10.0,46-54,4,10.0,Pérez,Smith,Chafin,3:27,N,19532,0.35,-,
101,Tuesday Jul 28,boxscore,SEA,,ARI,L,4,8,,46-55,4,10.0,Godley,Iwakuma,,3:00,N,25106,0.25,--,
102,Wednesday Jul 29,boxscore,SEA,,ARI,L,2,8,,46-56,4,11.0,Corbin,Hernández,,2:59,D,32502,0.21,---,
103,Thursday Jul 30,boxscore,SEA,@,MIN,L,5,9,,46-57,4,12.0,Hughes,Happ,,3:08,N,30534,0.19,----,
104,Friday Jul 31,boxscore,SEA,@,MIN,W,6,1,,47-57,4,11.0,Walker,Milone,,2:23,N,27643,0.14,+,
105,Saturday Aug 1,boxscore,SEA,@,MIN,L-wo,2,3,,47-58,4,12.0,May,Smith,,2:45,N,36901,0.2,-,
106,Sunday Aug 2,boxscore,SEA,@,MIN,W,4,1,11.0,48-58,4,12.0,Rodney,Jepsen,Wilhelmsen,3:12,D,30325,0.14,+,
107,Monday Aug 3,boxscore,SEA,@,COL,W,8,7,,49-58,4,11.0,Hernández,Butler,Smith,3:19,N,33107,0.18,++,
108,Tuesday Aug 4,boxscore,SEA,@,COL,W,10,4,,50-58,4,10.0,Rasmussen,Friedrich,,3:22,N,34376,0.18,+++,
109,Wednesday Aug 5,boxscore,SEA,@,COL,L-wo,5,7,11.0,50-59,4,10.0,Flande,Guaipe,,4:06,D,30196,0.29,-,
110,Friday Aug 7,boxscore,SEA,,TEX,W,4,3,,51-59,4,9.5,Iwakuma,Hamels,Smith,2:55,N,29320,0.23,+,
111,Saturday Aug 8,boxscore,SEA,,TEX,L,3,11,11.0,51-60,4,9.5,Tolleson,Rasmussen,,4:11,D,39132,0.27,-,
112,Sunday Aug 9,boxscore,SEA,,TEX,W,4,2,,52-60,4,8.5,Hernández,Lewis,Smith,2:34,D,29939,0.22,+,
113,Monday Aug 10,boxscore,SEA,,BAL,L,2,3,,52-61,4,9.0,Chen,Nuño,Britton,2:36,N,20839,0.28,-,
114,Tuesday Aug 11,boxscore,SEA,,BAL,W-wo,6,5,10.0,53-61,4,8.0,Rodney,McFarland,,3:29,N,24863,0.22,+,
115,Wednesday Aug 12,boxscore,SEA,,BAL,W,3,0,,54-61,4,8.0,Iwakuma,Gausman,,2:29,D,25661,0.31,++,
116,Friday Aug 14,boxscore,SEA,@,BOS,L,1,15,,54-62,4,9.0,Kelly,Montgomery,,3:30,N,37678,0.31,-,
117,Saturday Aug 15,boxscore,SEA,@,BOS,L,10,22,,54-63,4,9.0,Miley,Hernández,,3:21,D,36027,0.24,--,
118,Sunday Aug 16,boxscore,SEA,@,BOS,W,10,8,12.0,55-63,4,9.0,Rasmussen,Breslow,Farquhar,4:24,D,35260,0.21,+,
119,Monday Aug 17,boxscore,SEA,@,TEX,L-wo,3,4,,55-64,4,9.0,Tolleson,Rodney,,2:51,N,19880,0.28,-,
120,Tuesday Aug 18,boxscore,SEA,@,TEX,W,3,2,,56-64,4,9.0,Iwakuma,González,Smith,2:44,N,26870,0.2,+,
121,Wednesday Aug 19,boxscore,SEA,@,TEX,L,2,7,,56-65,4,10.0,Holland,Montgomery,,2:39,D,20142,0.23,-,
122,Friday Aug 21,boxscore,SEA,,CHW,L,4,11,,56-66,4,10.5,Sale,Hernández,,3:06,N,35770,0.15,--,
123,Saturday Aug 22,boxscore,SEA,,CHW,L,3,6,10.0,56-67,4,11.5,Jones,Farquhar,Robertson,3:23,N,32085,0.09,---,
